Reference;Quantity;Value;Footprint;Datasheet;Manufacturer;MPN;SKU;Color;Res;Tol;Pwr;C;Vmax;Type
A1 ;1;ART;pluggee:pluggeeLabsIcon-13X7;
C1 C2 ;2;CC0603KRX7R9BB104;Main:CAPC0603;;Yageo;CC0603KRX7R9BB104;STUFF;;;±10%;;100 nF;50.0V;X7R
D1 D2 D3 D4 ;4;LTW-170TK;Main:DIOC200X120X110;;Lite-On Inc.;LTW-170TK;COMMON;WHITE;;;;;;
FID1 FID2 FID3 ;3;FIDTOP001;Main:FIDTOP001;
J1 J2 ;2;CONN500P-01X08;Main:CONN500P-01X08;;Phoenix Contact;1935226;STUFF;;;;;;;
J3 ;1;CONN_R1000A_EXTENSION;Main:CONN127P-02X10;;CNC Tech;3221-20-0200-00;STUFF;;;;;;;
MP1 MP2 MP3 MP4 ;4;MECH_NPTH_M3;Main:MECH_NPTH_M3;
Q1 Q2 Q3 Q4 ;4;PSMN1R2-30YLC;Main:SOT127P500X110-5;;NXP Semiconductors;PSMN1R2-30YLC,115;STUFF;;;;;;;
R11 R12 R13 R14 ;4;RC0603FR-074K7L;Main:RESC0603;;Yageo;RC0603FR-074K7L;STUFF;;4.7 kΩ;±1%;100 mW;;;
R10 R15 R16 R17 R18 R7 R8 R9 ;8;RC0603FR-071KL;Main:RESC0603;;Yageo;RC0603FR-071KL;STUFF;;1.00 kΩ;±1%;100 mW;;;
U1 ;1;74HC125;Main:SOIC127P870X390X175-14;;NXP Semiconductors;74HC125D,653;STUFF;;;;;;;
U2 ;1;AS78L05ZTR-E1;Main:TO92_AMMO;;Diodes Incorporated;AS78L05ZTR-E1;STUFF;;;;;;;
U3 ;1;TLP293-4;Main:SOIC127P1030X455X210-16;;Toshiba Semiconductor and Storage;TLP293-4(TP,E;STUFF;;;;;;;
